id,title,subtitle,content,html_content,release_date,solved_by_count,difficulty
658,Incomplete Words II,Problem 658,"
In the context of formal languages, any finite sequence of letters of a given alphabet Σ is called a word over Σ. We call a word incomplete if it does not contain every letter of Σ.

For example, using the alphabet Σ={a,b,c}, 'ab', 'abab' and '' (the empty word) are incomplete words over Σ, while 'abac' is a complete word over Σ.

Given an alphabet Σ of α letters, we define I(α,n) to be the number of incomplete words over Σ with a length not exceeding n. 
For example, I(3,0)=1, I(3,2)=13 and I(3,4)=79.

Let S(k,n)=∑α=1kI(α,n).
For example, S(4,4)=406, S(8,8)=27902680 and S(10,100)≡983602076mod1000000007.

Find S(107,1012). Give your answer modulo 1000000007.

","<p>In the context of <strong>formal languages</strong>, any finite sequence of letters of a given <strong>alphabet</strong> $\Sigma$ is called a <strong>word</strong> over $\Sigma$. We call a word <dfn>incomplete</dfn> if it does not contain every letter of $\Sigma$.</p>
<p>
For example, using the alphabet $\Sigma=\{ a, b, c\}$, '$ab$', '$abab$' and '$\,$' (the empty word) are incomplete words over $\Sigma$, while '$abac$' is a complete word over $\Sigma$.</p>
<p>
Given an alphabet $\Sigma$ of $\alpha$ letters, we define $I(\alpha,n)$ to be the number of incomplete words over $\Sigma$ with a length not exceeding $n$. <br>
For example, $I(3,0)=1$, $I(3,2)=13$ and $I(3,4)=79$.</p>
<p>
Let $\displaystyle S(k,n)=\sum_{\alpha=1}^k I(\alpha,n)$.<br>
For example, $S(4,4)=406$, $S(8,8)=27902680$ and $S (10,100) \equiv 983602076 \bmod 1\,000\,000\,007$.</p>
<p>
Find $S(10^7,10^{12})$. Give your answer modulo $1\,000\,000\,007$.
</p>
",2019-02-23T13:00:00,267,55
659,Largest Prime,Problem 659,"

Consider the sequence  n2+3 with n≥1.  
If we write down the first terms of this sequence we get:
4,7,12,19,28,39,52,67,84,103,124,147,172,199,228,259,292,327,364,… .
We see that the terms for n=6 and n=7 (39 and 52) are both divisible by 13.
In fact 13 is the largest prime dividing any two successive terms of this sequence.


Let P(k) be the largest prime  that divides any two successive terms of the sequence n2+k2.


Find the last 18 digits of ∑k=110000000P(k).

","<p>
Consider the sequence  $n^2+3$ with $n \ge 1$. <br> 
If we write down the first terms of this sequence we get:<br>
$4, 7, 12, 19, 28, 39, 52, 67, 84, 103, 124, 147, 172, 199, 228, 259, 292, 327, 364, \dots$ .<br>
We see that the terms for $n=6$ and $n=7$ ($39$ and $52$) are both divisible by $13$.<br>
In fact $13$ is the largest prime dividing any two successive terms of this sequence.
</p>
<p>
Let $P(k)$ be the largest prime  that divides any two successive terms of the sequence $n^2+k^2$.
</p>
<p>
Find the last $18$ digits of $\displaystyle \sum_{k=1}^{10\,000\,000} P(k)$.
</p>


",2019-03-02T16:00:00,1096,20
660,Pandigital Triangles,Problem 660,"
We call an integer sided triangle n-pandigital if it contains one angle of 120 degrees and, when the sides of the triangle are written in base n, together they use all n digits of that base exactly once.

For example, the triangle (217,248,403) is 9-pandigital because it contains one angle of 120 degrees and the sides written in base 9 are 2619,3059,4879 using each of the 9 digits of that base once.
Find the sum of the largest sides of all n-pandigital triangles with 9≤n≤18.
","<p>We call an integer sided triangle <dfn>$n$-pandigital</dfn> if it contains one angle of $120$ degrees and, when the sides of the triangle are written in base $n$, together they use all $n$ digits of that base exactly once.</p>

<p>
For example, the triangle $(217, 248, 403)$ is $9$-pandigital because it contains one angle of $120$ degrees and the sides written in base $9$ are $261_9, 305_9, 487_9$ using each of the $9$ digits of that base once.</p>

<p>Find the sum of the largest sides of all $n$-pandigital triangles with $9 \le n \le 18$.</p>
",2019-03-09T19:00:00,337,40
661,A Long Chess Match,Problem 661,"
Two friends A and B are great fans of Chess. They both enjoy playing the game, but after each game the player who lost the game would like to continue (to get back at the other player) and the player who won would prefer to stop (to finish on a high).
So they come up with a plan. After every game, they would toss a (biased) coin with probability p of Heads (and hence probability 1−p of Tails). If they get Tails, they will continue with the next game. Otherwise they end the match. Also, after every game the players make a note of who is leading in the match.
Let pA denote the probability of A winning a game and pB the probability of B winning a game. Accordingly 1−pA−pB is the probability that a game ends in a draw. Let EA(pA,pB,p) denote the expected number of times A was leading in the match.

For example, EA(0.25,0.25,0.5)≈0.585786 and EA(0.47,0.48,0.001)≈377.471736, both rounded to six places after the decimal point.
Let H(n)=∑k=3nEA(1k+3,1k+3+1k2,1k3)
For example H(3)≈6.8345, rounded to 4 digits after the decimal point.
Find H(50), rounded to 4 digits after the decimal point.
","<p>Two friends $A$ and $B$ are great fans of Chess. They both enjoy playing the game, but after each game the player who lost the game would like to continue (to get back at the other player) and the player who won would prefer to stop (to finish on a high).</p>

<p>So they come up with a plan. After every game, they would toss a (biased) coin with probability $p$ of Heads (and hence probability $1-p$ of Tails). If they get Tails, they will continue with the next game. Otherwise they end the match. Also, after every game the players make a note of who is leading in the match.</p>

<p>Let $p_A$ denote the probability of $A$ winning a game and $p_B$ the probability of $B$ winning a game. Accordingly $1-p_A-p_B$ is the probability that a game ends in a draw. Let $\mathbb{E}_A(p_A,p_B,p)$ denote the expected number of times $A$ was leading in the match.<br />

For example, $\mathbb{E}_A(0.25,0.25,0.5)\approx 0.585786$ and $\mathbb{E}_A(0.47,0.48,0.001)\approx 377.471736$, both rounded to six places after the decimal point.</p>

<p>Let $\displaystyle H(n)=\sum_{k=3}^n \mathbb{E}_A\left(\frac 1 {\sqrt{k+3}},\frac 1 {\sqrt{k+3}}+\frac 1 {k^2},\frac 1 {k^3}\right)$<br />
For example $H(3) \approx 6.8345$, rounded to 4 digits after the decimal point.</p>

<p>Find $H(50)$, rounded to 4 digits after the decimal point.</p>
",2019-03-16T22:00:00,259,55
662,Fibonacci Paths,Problem 662,"

Alice walks on a lattice grid. She can step from one lattice point A(a,b) to another B(a+x,b+y) providing distance AB=x2+y2 is a Fibonacci number {1,2,3,5,8,13,…} and x≥0, y≥0.



In the lattice grid below Alice can step from the blue point to any of the red points.


Let F(W,H) be the number of paths Alice can take from (0,0) to (W,H).
You are given F(3,4)=278 and F(10,10)=215846462.


Find F(10000,10000)mod1000000007.
","<p>
Alice walks on a lattice grid. She can step from one lattice point $A (a,b)$ to another $B (a+x,b+y)$ providing distance $AB = \sqrt{x^2+y^2}$ is a Fibonacci number $\{1,2,3,5,8,13,\ldots\}$ and $x\ge 0,$  $y\ge 0$.
</p>
<p>

In the lattice grid below Alice can step from the blue point to any of the red points.<br /></p>
<p align=""center""><img src=""https://projecteuler.net/project/images/p662_fibonacciwalks.png"" alt=""p662_fibonacciwalks.png"" /></p>
<p>
Let $F(W,H)$ be the number of paths Alice can take from $(0,0)$ to $(W,H)$.<br />
You are given $F(3,4) = 278$ and $F(10,10) = 215846462$.
</p>
<p>
Find $F(10\,000,10\,000) \bmod 1\,000\,000\,007$.</p>
",2019-03-24T01:00:00,906,25
663,Sums of Subarrays,Problem 663,"
Let tk be the tribonacci numbers defined as: 
t0=t1=0;
t2=1; 
tk=tk−1+tk−2+tk−3 for k≥3.
For a given integer n, let An be an array of length n (indexed from 0 to n−1), that is initially filled with zeros.
The array is changed iteratively by replacing An[(t2i−2modn)] with An[(t2i−2modn)]+2(t2i−1modn)−n+1 in each step i. 
After each step i, define Mn(i) to be max{∑j=pqAn[j]:0≤p≤q<n}, the maximal sum of any contiguous subarray of An. 
The first 6 steps for n=5 are illustrated below:
Initial state: A5={0,0,0,0,0}
Step 1: ⇒A5={−4,0,0,0,0}, M5(1)=0
Step 2: ⇒A5={−4,−2,0,0,0}, M5(2)=0
Step 3: ⇒A5={−4,−2,4,0,0}, M5(3)=4
Step 4: ⇒A5={−4,−2,6,0,0}, M5(4)=6
Step 5: ⇒A5={−4,−2,6,0,4}, M5(5)=10
Step 6: ⇒A5={−4,2,6,0,4}, M5(6)=12

Let S(n,l)=∑i=1lMn(i). Thus S(5,6)=32.
You are given S(5,100)=2416, S(14,100)=3881 and S(107,1000)=1618572.
Find S(10000003,10200000)−S(10000003,10000000).
","<p>Let $t_k$ be the <b>tribonacci numbers</b> defined as: <br>
$\quad t_0 = t_1 = 0$;<br>
$\quad t_2 = 1$; <br>
$\quad t_k = t_{k-1} + t_{k-2} + t_{k-3} \quad \text{   for   }  k \ge 3$.</p>

<p>For a given integer $n$, let $A_n$ be an array of length $n$ (indexed from $0$ to $n-1$), that is initially filled with zeros.<br>
The array is changed iteratively by replacing $A_n[(t_{2 i-2} \bmod n)]$ with $A_n[(t_{2 i-2} \bmod n)]+2 (t_{2 i-1} \bmod n)-n+1$ in each step $i$.<br> 
After each step $i$, define $M_n(i)$ to be $\displaystyle \max\{\sum_{j=p}^q A_n[j]: 0\le p\le q \lt n\}$, the maximal sum of any contiguous subarray of $A_n$. </p>

<p>The first 6 steps for $n=5$ are illustrated below:<br>
Initial state: $\, A_5=\{0,0,0,0,0\}$<br>
Step 1: $\quad \Rightarrow A_5=\{-4,0,0,0,0\}$, $M_5(1)=0$<br>
Step 2: $\quad \Rightarrow A_5=\{-4, -2, 0, 0, 0\}$, $M_5(2)=0$<br>
Step 3: $\quad \Rightarrow A_5=\{-4, -2, 4, 0, 0\}$, $M_5(3)=4$<br>
Step 4: $\quad \Rightarrow A_5=\{-4, -2, 6, 0, 0\}$, $M_5(4)=6$<br>
Step 5: $\quad \Rightarrow A_5=\{-4, -2, 6, 0, 4\}$, $M_5(5)=10$<br>
Step 6: $\quad \Rightarrow A_5=\{-4, 2, 6, 0, 4\}$, $M_5(6)=12$<br>
</p>

<p>Let $\displaystyle S(n,l)=\sum_{i=1}^l M_n(i)$. Thus $S(5,6)=32$.<br>
You are given $S(5,100)=2416$, $S(14,100)=3881$ and $S(107,1000)=1618572$.</p>

<p>Find $S(10\,000\,003,10\,200\,000)-S(10\,000\,003,10\,000\,000)$.</p>
",2019-03-31T04:00:00,407,35
664,An Infinite Game,Problem 664,"
Peter is playing a solitaire game on an infinite checkerboard, each square of which can hold an unlimited number of tokens.
Each move of the game consists of the following steps:

Choose one token T to move. This may be any token on the board, as long as not all of its four adjacent squares are empty.
Select and discard one token D from a square adjacent to that of T.
Move T to any one of its four adjacent squares (even if that square is already occupied).




The board is marked with a line called the dividing line. Initially, every square to the left of the dividing line contains a token, and every square to the right of the dividing line is empty:



Peter's goal is to get a token as far as possible to the right in a finite number of moves. However, he quickly finds out that, even with his infinite supply of tokens, he cannot move a token more than four squares beyond the dividing line.
Peter then considers starting configurations with larger supplies of tokens: each square in the dth column to the left of the dividing line starts with dn tokens instead of 1. This is illustrated below for n=1:



Let F(n) be the maximum number of squares Peter can move a token beyond the dividing line. For example, F(0)=4.
You are also given that F(1)=6, F(2)=9, F(3)=13, F(11)=58 and F(123)=1173.
Find F(1234567).
","<p>Peter is playing a solitaire game on an infinite checkerboard, each square of which can hold an unlimited number of tokens.</p>

<p>Each move of the game consists of the following steps:</p>
<ol>
<li>Choose one token $T$ to move. This may be any token on the board, as long as not all of its four adjacent squares are empty.</li>
<li>Select and discard one token $D$ from a square adjacent to that of $T$.</li>
<li>Move $T$ to any one of its four adjacent squares (even if that square is already occupied).</li>
</ol>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0664_moves.gif?1678992057"" alt=""Allowed moves"">
</div>

<p>The board is marked with a line called the <dfn>dividing line</dfn>. Initially, every square to the left of the dividing line contains a token, and every square to the right of the dividing line is empty:</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0664_starting_0.png?1678992054"" alt=""Initial setup"">
</div>

<p>Peter's goal is to get a token as far as possible to the right in a finite number of moves. However, he quickly finds out that, even with his infinite supply of tokens, he cannot move a token more than four squares beyond the dividing line.</p>

<p>Peter then considers starting configurations with larger supplies of tokens: each square in the $d$th column to the left of the dividing line starts with $d^n$ tokens instead of $1$. This is illustrated below for $n=1$:</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0664_starting_1.png?1678992054"" alt=""Initial setup n=1"">
</div>

<p>Let $F(n)$ be the maximum number of squares Peter can move a token beyond the dividing line. For example, $F(0)=4$.
You are also given that $F(1)=6$, $F(2)=9$, $F(3)=13$, $F(11)=58$ and $F(123)=1173$.</p>
<p>Find $F(1234567)$.</p>

",2019-04-07T07:00:00,213,65
665,Proportionate Nim,Problem 665,"
Two players play a game with two piles of stones, alternating turns.
On each turn, the corresponding player chooses a positive integer n and does one of the following:
removes n stones from one pile;
removes n stones from both piles; or
removes n stones from one pile and 2n stones from the other pile.
The player who removes the last stone wins.
We denote by (n,m) the position in which the piles have n and m stones remaining. Note that (n,m) is considered to be the same position as (m,n).
Then, for example, if the position is (2,6), the next player may reach the following positions:
(0,2), (0,4), (0,5), (0,6), (1,2), (1,4), (1,5), (1,6), (2,2), (2,3), (2,4), (2,5)
A position is a losing position if the player to move next cannot force a win. For example, (1,3), (2,6), (4,5) are the first few losing positions.
Let f(M) be the sum of n+m for all losing positions (n,m) with n≤m and n+m≤M. For example, f(10)=21, by considering the losing positions (1,3), (2,6), (4,5).
You are given that f(100)=1164 and f(1000)=117002.
Find f(107).
","<p>Two players play a game with two piles of stones, alternating turns.</p>
<p>On each turn, the corresponding player chooses a positive integer $n$ and does one of the following:</p>
<ul><li>removes $n$ stones from one pile;</li>
<li>removes $n$ stones from both piles; or</li>
<li>removes $n$ stones from one pile and $2n$ stones from the other pile.</li>
</ul><p>The player who removes the last stone wins.</p>

<p>We denote by $(n,m)$ the position in which the piles have $n$ and $m$ stones remaining. Note that $(n,m)$ is considered to be the same position as $(m,n)$.</p>

<p>Then, for example, if the position is $(2,6)$, the next player may reach the following positions:<br />
$(0,2)$, $(0,4)$, $(0,5)$, $(0,6)$, $(1,2)$, $(1,4)$, $(1,5)$, $(1,6)$, $(2,2)$, $(2,3)$, $(2,4)$, $(2,5)$</p>

<p>A position is a losing position if the player to move next cannot force a win. For example, $(1,3)$, $(2,6)$, $(4,5)$ are the first few losing positions.</p>

<p>Let $f(M)$ be the sum of $n+m$ for all losing positions $(n,m)$ with $n\le m$ and $n+m \le M$. For example, $f(10) = 21$, by considering the losing positions $(1,3)$, $(2,6)$, $(4,5)$.</p>
<p>You are given that $f(100) = 1164$ and $f(1000) = 117002$.</p>

<p>Find $f(10^7)$.</p>
",2019-04-14T10:00:00,278,55
666,Polymorphic Bacteria,Problem 666,"
Members of a species of bacteria occur in two different types: α and β. Individual bacteria are capable of multiplying and mutating between the types according to the following rules:
Every minute, each individual will simultaneously undergo some kind of transformation.
Each individual A of type α will, independently, do one of the following (at random with equal probability):
clone itself, resulting in a new bacterium of type α (alongside A who remains)
split into 3 new bacteria of type β (replacing A)

Each individual B of type β will, independently, do one of the following (at random with equal probability):
spawn a new bacterium of type α (alongside B who remains)
die

If a population starts with a single bacterium of type α, then it can be shown that there is a 0.07243802 probability that the population will eventually die out, and a 0.92756198 probability that the population will last forever. These probabilities are given rounded to 8 decimal places.


Now consider another species of bacteria, Sk,m (where k and m are positive integers), which occurs in k different types αi for 0≤i<k. The rules governing this species' lifecycle involve the sequence rn defined by:

r0=306
rn+1=rn2mod10007

Every minute, for each i, each bacterium A of type αi will independently choose an integer j uniformly at random in the range 0≤j<m. What it then does depends on q=rim+jmod5:
If q=0, A dies.
If q=1, A clones itself, resulting in a new bacterium of type αi (alongside A who remains).
If q=2, A mutates, changing into type α(2i)modk.
If q=3, A splits into 3 new bacteria of type α(i2+1)modk (replacing A).
If q=4, A spawns a new bacterium of type α(i+1)modk (alongside A who remains).

In fact, our original species was none other than S2,2, with α=α0 and β=α1.


Let Pk,m be the probability that a population of species Sk,m, starting with a single bacterium of type α0, will eventually die out. So P2,2=0.07243802. You are also given that P4,3=0.18554021 and P10,5=0.53466253, all rounded to 8 decimal places.


Find P500,10, and give your answer rounded to 8 decimal places.

","Members of a species of bacteria occur in two different types: $\alpha$ and $\beta$. Individual bacteria are capable of multiplying and mutating between the types according to the following rules:
<ul><li>Every minute, each individual will simultaneously undergo some kind of transformation.</li>
<li>Each individual $A$ of type $\alpha$ will, independently, do one of the following (at random with equal probability):
<ul><li>clone itself, resulting in a new bacterium of type $\alpha$ (alongside $A$ who remains)</li>
<li>split into 3 new bacteria of type $\beta$ (replacing $A$)</li>
</ul></li>

<li>Each individual $B$ of type $\beta$ will, independently, do one of the following (at random with equal probability):
<ul><li>spawn a new bacterium of type $\alpha$ (alongside $B$ who remains)</li>
<li>die</li>
</ul></li></ul><p>
If a population starts with a single bacterium of type $\alpha$, then it can be shown that there is a 0.07243802 probability that the population will eventually die out, and a 0.92756198 probability that the population will last forever. These probabilities are given rounded to 8 decimal places.
</p>
<p>
Now consider another species of bacteria, $S_{k,m}$ (where $k$ and $m$ are positive integers), which occurs in $k$ different types $\alpha_i$ for $0\le i&lt; k$. The rules governing this species' lifecycle involve the sequence $r_n$ defined by:
</p>
<ul style=""list-style-type:none;""><li>$r_0 = 306$</li>
<li>$r_{n+1} = r_n^2 \bmod 10\,007$</li>
</ul><p>
Every minute, for each $i$, each bacterium $A$ of type $\alpha_i$ will independently choose an integer $j$ uniformly at random in the range $0\le j&lt;m$. What it then does depends on $q = r_{im+j} \bmod 5$:</p>
<ul><li>If $q=0$, $A$ dies.</li>
<li>If $q=1$, $A$ clones itself, resulting in a new bacterium of type $\alpha_i$ (alongside $A$ who remains).</li>
<li>If $q=2$, $A$ mutates, changing into type $\alpha_{(2i) \bmod k}$.</li>
<li>If $q=3$, $A$ splits into 3 new bacteria of type $\alpha_{(i^2+1) \bmod k}$ (replacing $A$).</li>
<li>If $q=4$, $A$ spawns a new bacterium of type $\alpha_{(i+1) \bmod k}$ (alongside $A$ who remains).</li>
</ul><p>
In fact, our original species was none other than $S_{2,2}$, with $\alpha=\alpha_0$ and $\beta=\alpha_1$.
</p>
<p>
Let $P_{k,m}$ be the probability that a population of species $S_{k,m}$, starting with a single bacterium of type $\alpha_0$, will eventually die out. So $P_{2,2} = 0.07243802$. You are also given that $P_{4,3} = 0.18554021$ and $P_{10,5} = 0.53466253$, all rounded to 8 decimal places.
</p>
<p>
Find $P_{500,10}$, and give your answer rounded to 8 decimal places.
</p>
",2019-04-20T13:00:00,329,45
667,Moving Pentagon,Problem 667,"

After buying a Gerver Sofa from the Moving Sofa Company, Jack wants to buy a matching cocktail table from the same company. Most important for him is that the table can be pushed through his L-shaped corridor into the living room without having to be lifted from its table legs. 
Unfortunately, the simple square model offered to him is too small for him, so he asks for a bigger model.
He is offered the new pentagonal model illustrated below:

Note, while the shape and size can be ordered individually, due to the production process, all edges of the pentagonal table have to have the same length.

Given optimal form and size, what is the biggest pentagonal cocktail table (in terms of area) that Jack can buy that still fits through his unit wide L-shaped corridor?

Give your answer rounded to 10 digits after the decimal point (if Jack had choosen the square model instead the answer would have been 1.0000000000).
","<p>
After buying a <i>Gerver Sofa</i> from the <i>Moving Sofa Company</i>, Jack wants to buy a matching cocktail table from the same company. Most important for him is that the table can be pushed through his L-shaped corridor into the living room without having to be lifted from its table legs. <br />
Unfortunately, the simple square model offered to him is too small for him, so he asks for a bigger model.<br />
He is offered the new pentagonal model illustrated below:</p>
<img src=""https://projecteuler.net/project/images/p667_MovingPentagon.png"" alt=""p667.png"" /><p>
Note, while the shape and size can be ordered individually, due to the production process,<b> all edges of the pentagonal table have to have the same length.</b></p>
<p>
Given optimal form and size, what is the biggest pentagonal cocktail table (in terms of area) that Jack can buy that still fits through his unit wide L-shaped corridor?</p>
<p>
Give your answer rounded to 10 digits after the decimal point (if Jack had choosen the square model instead the answer would have been 1.0000000000).</p>
",2019-04-27T16:00:00,223,80
668,Square Root Smooth Numbers,Problem 668,"

A positive integer is called square root smooth if all of its prime factors are strictly less than its square root.
Including the number 1, there are 29 square root smooth numbers not exceeding 100.


How many square root smooth numbers are there not exceeding 10000000000?
","<p>
A positive integer is called <dfn>square root smooth</dfn> if all of its prime factors are strictly less than its square root.<br>
Including the number $1$, there are $29$ square root smooth numbers not exceeding $100$.
</p>
<p>
How many square root smooth numbers are there not exceeding $10\,000\,000\,000$?</p>
",2019-05-04T19:00:00,1181,20
669,The King's Banquet,Problem 669,"
The Knights of the Order of Fibonacci are preparing a grand feast for their king. There are n knights, and each knight is assigned a distinct number from 1 to n.
When the knights sit down at the roundtable for their feast, they follow a peculiar seating rule: two knights can only sit next to each other if their respective numbers sum to a Fibonacci number.
When the n knights all try to sit down around a circular table with n chairs, they are unable to find a suitable seating arrangement for any n>2 despite their best efforts. Just when they are about to give up, they remember that the king will sit on his throne at the table as well.
Suppose there are n=7 knights and 7 chairs at the roundtable, in addition to the king’s throne. After some trial and error, they come up with the following seating arrangement (K represents the king):



Notice that the sums 4+1, 1+7, 7+6, 6+2, 2+3, and 3+5 are all Fibonacci numbers, as required. It should also be mentioned that the king always prefers an arrangement where the knight to the his left has a smaller number than the knight to his right. With this additional rule, the above arrangement is unique for n=7, and the knight sitting in the 3rd chair from the king’s left is knight number 7.
Later, several new knights are appointed to the Order, giving 34 knights and chairs in addition to the king's throne. The knights eventually determine that there is a unique seating arrangement for n=34 satisfying the above rules, and this time knight number 30 is sitting in the 3rd chair from the king's left.
Now suppose there are n=99194853094755497 knights and the same number of chairs at the roundtable (not including the king’s throne). After great trials and tribulations, they are finally able to find the unique seating arrangement for this value of n that satisfies the above rules.
Find the number of the knight sitting in the 10000000000000000th chair from the king’s left.
","<p>The Knights of the Order of Fibonacci are preparing a grand feast for their king. There are $n$ knights, and each knight is assigned a distinct number from $1$ to $n$.</p>

<p>When the knights sit down at the roundtable for their feast, they follow a peculiar seating rule: two knights can only sit next to each other if their respective numbers sum to a Fibonacci number.</p>

<p>When the $n$ knights all try to sit down around a circular table with $n$ chairs, they are unable to find a suitable seating arrangement for any $n&gt;2$ despite their best efforts. Just when they are about to give up, they remember that the king will sit on his throne at the table as well.</p>

<p>Suppose there are $n=7$ knights and $7$ chairs at the roundtable, in addition to the king’s throne. After some trial and error, they come up with the following seating arrangement ($K$ represents the king):</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0669_roundtable.png?1678992054"" alt=""Roundtable"">
</div>

<p>Notice that the sums $4+1$, $1+7$, $7+6$, $6+2$, $2+3$, and $3+5$ are all Fibonacci numbers, as required. It should also be mentioned that the king always prefers an arrangement where the knight to the his left has a smaller number than the knight to his right. With this additional rule, the above arrangement is unique for $n=7$, and the knight sitting in the 3rd chair from the king’s left is knight number $7$.</p>

<p>Later, several new knights are appointed to the Order, giving $34$ knights and chairs in addition to the king's throne. The knights eventually determine that there is a unique seating arrangement for $n=34$ satisfying the above rules, and this time knight number $30$ is sitting in the 3rd chair from the king's left.</p>

<p>Now suppose there are $n=99\,194\,853\,094\,755\,497$ knights and the same number of chairs at the roundtable (not including the king’s throne). After great trials and tribulations, they are finally able to find the unique seating arrangement for this value of $n$ that satisfies the above rules.</p>

<p>Find the number of the knight sitting in the $10\,000\,000\,000\,000\,000$th chair from the king’s left.</p>

",2019-05-11T22:00:00,341,45
670,Colouring a Strip,Problem 670,"
A certain type of tile comes in three different sizes - 1×1, 1×2, and 1×3 - and in four different colours: blue, green, red and yellow. There is an unlimited number of tiles available in each combination of size and colour.
These are used to tile a 2×n rectangle, where n is a positive integer, subject to the following conditions:

The rectangle must be fully covered by non-overlapping tiles.
It is not permitted for four tiles to have their corners meeting at a single point.
Adjacent tiles must be of different colours.

For example, the following is an acceptable tiling of a 2×12 rectangle:



but the following is not an acceptable tiling, because it violates the ""no four corners meeting at a point"" rule:



Let F(n) be the number of ways the 2×n rectangle can be tiled subject to these rules. Where reflecting horizontally or vertically would give a different tiling, these tilings are to be counted separately.
For example, F(2)=120, F(5)=45876, and F(100)≡53275818(mod1000004321).
Find F(1016)mod1000004321.
","<p>A certain type of tile comes in three different sizes - $1 \times 1$, $1 \times 2$, and $1 \times 3$ - and in four different colours: blue, green, red and yellow. There is an unlimited number of tiles available in each combination of size and colour.</p>

<p>These are used to tile a $2\times n$ rectangle, where $n$ is a positive integer, subject to the following conditions:</p>
<ul>
<li>The rectangle must be fully covered by non-overlapping tiles.</li>
<li>It is <i>not</i> permitted for four tiles to have their corners meeting at a single point.</li>
<li>Adjacent tiles must be of different colours.</li>
</ul>

<p>For example, the following is an acceptable tiling of a $2\times 12$ rectangle:</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0670_strip_acceptable.png?1678992054"" alt=""Acceptable colouring"">
</div>

<p>but the following is not an acceptable tiling, because it violates the ""no four corners meeting at a point"" rule:</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0670_strip_unacceptable.png?1678992054"" alt=""Unacceptable colouring"">
</div>

<p>Let $F(n)$ be the number of ways the $2\times n$ rectangle can be tiled subject to these rules. Where reflecting horizontally or vertically would give a different tiling, these tilings are to be counted separately.</p>

<p>For example, $F(2) = 120$, $F(5) = 45876$, and $F(100)\equiv 53275818 \pmod{1\,000\,004\,321}$.</p>
<p>Find $F(10^{16}) \bmod 1\,000\,004\,321$.</p>


",2019-05-19T01:00:00,382,40
671,Colouring a Loop,Problem 671,"
A certain type of flexible tile comes in three different sizes - 1×1, 1×2, and 1×3 - and in k different colours. There is an unlimited number of tiles available in each combination of size and colour.
These are used to tile a closed loop of width 2 and length (circumference) n, where n is a positive integer, subject to the following conditions:

The loop must be fully covered by non-overlapping tiles.
It is not permitted for four tiles to have their corners meeting at a single point.
Adjacent tiles must be of different colours.

For example, the following is an acceptable tiling of a 2×23 loop with k=4 (blue, green, red and yellow):



but the following is not an acceptable tiling, because it violates the ""no four corners meeting at a point"" rule:



Let Fk(n) be the number of ways the 2×n loop can be tiled subject to these rules when k colours are available. (Not all k colours have to be used.) Where reflecting horizontally or vertically would give a different tiling, these tilings are to be counted separately.
For example, F4(3)=104, F5(7)=3327300, and F6(101)≡75309980(mod1000004321).
Find F10(10004003002001)mod1000004321.
","<p>A certain type of flexible tile comes in three different sizes - $1 \times 1$, $1 \times 2$, and $1 \times 3$ - and in $k$ different colours. There is an unlimited number of tiles available in each combination of size and colour.</p>

<p>These are used to tile a closed loop of width $2$ and length (circumference) $n$, where $n$ is a positive integer, subject to the following conditions:</p>
<ul>
<li>The loop must be fully covered by non-overlapping tiles.</li>
<li>It is <i>not</i> permitted for four tiles to have their corners meeting at a single point.</li>
<li>Adjacent tiles must be of different colours.</li>
</ul>

<p>For example, the following is an acceptable tiling of a $2\times 23$ loop with $k=4$ (blue, green, red and yellow):</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0671_loop_acceptable.png?1678992054"" alt=""Acceptable colouring"">
</div>

<p>but the following is not an acceptable tiling, because it violates the ""no four corners meeting at a point"" rule:</p>

<div class=""center"">
<img src=""https://projecteuler.net/resources/images/0671_loop_unacceptable.png?1678992054"" alt=""Unacceptable colouring"">
</div>

<p>Let $F_k(n)$ be the number of ways the $2\times n$ loop can be tiled subject to these rules when $k$ colours are available. (Not all $k$ colours have to be used.) Where reflecting horizontally or vertically would give a different tiling, these tilings are to be counted separately.</p>

<p>For example, $F_4(3) = 104$, $F_5(7) = 3327300$, and $F_6(101)\equiv 75309980 \pmod{1\,000\,004\,321}$.</p>
<p>Find $F_{10}(10\,004\,003\,002\,001) \bmod 1\,000\,004\,321$.</p>

",2019-05-19T01:00:00,199,80
